Frequency (rad/s),Epsilon_r1_real,Epsilon_r1_imag,Epsilon_r2_real,Epsilon_r2_imag
1.0,299.9999999999975,-2.4999999999999747e-05,99.9999999999995,-4.99999999999995e-06
1.0655379505623057,299.99999999999716,-2.663844876405734e-05,99.99999999999943,-5.327689752811468e-06
1.1353711240885187,299.9999999999968,-2.83842781022126e-05,99.99999999999935,-5.67685562044252e-06
1.2097810206889015,299.99999999999636,-3.0244525517222095e-05,99.99999999999926,-6.048905103444419e-06
1.2890675894140264,299.99999999999585,-3.2226689735350126e-05,99.99999999999918,-6.445337947070024e-06
1.3735504373605134,299.9999999999953,-3.433876093401218e-05,99.99999999999906,-6.867752186802437e-06
1.46357011801908,299.99999999999466,-3.6589252950476223e-05,99.99999999999893,-7.317850590095245e-06
1.5594895040582826,299.99999999999386,-3.8987237601456106e-05,99.99999999999878,-7.797447520291222e-06
1.661695250077689,299.9999999999931,-4.154238125194108e-05,99.99999999999862,-8.308476250388216e-06
1.7705993512268987,299.99999999999216,-4.426498378067108e-05,99.99999999999844,-8.852996756134215e-06
1.8866408039732578,299.99999999999113,-4.716602009932977e-05,99.99999999999822,-9.433204019865952e-06
2.0102873757128856,299.9999999999899,-5.025718439282011e-05,99.99999999999798,-1.0051436878564022e-05
2.1420374903583843,299.9999999999885,-5.3550937258957146e-05,99.9999999999977,-1.0710187451791428e-05
2.2824222375040972,299.9999999999869,-5.706055593759945e-05,99.99999999999739,-1.1412111187519888e-05
2.432007513267948,299.9999999999852,-6.080018783169511e-05,99.99999999999704,-1.2160037566339022e-05
2.591396301439659,299.99999999998323,-6.478490753598712e-05,99.99999999999665,-1.2956981507197426e-05
2.761231104130753,299.99999999998096,-6.903077760326357e-05,99.99999999999619,-1.3806155520652711e-05
2.9421965317243752,299.99999999997834,-7.3554913293103e-05,99.99999999999568,-1.4710982658620601e-05
3.1350220625651146,299.99999999997544,-7.837555156412015e-05,99.99999999999508,-1.5675110312824032e-05
3.340484983513244,299.9999999999721,-8.351212458782177e-05,99.99999999999442,-1.6702424917564354e-05
3.55941352321686,299.9999999999683,-8.898533808041023e-05,99.99999999999366,-1.7797067616082044e-05
3.79269019073225,299.999999999964,-9.481725476829259e-05,99.99999999999281,-1.896345095365852e-05
4.041255332950601,299.99999999995913,-0.0001010313833237485,99.99999999999183,-2.02062766647497e-05
4.306110925171172,299.9999999999536,-0.00010765277312925934,99.99999999999073,-2.1530554625851866e-05
4.588324610100845,299.99999999994736,-0.00011470811525249696,99.99999999998948,-2.2941623050499393e-05
4.889034001561446,299.99999999994026,-0.00012222585003900693,99.99999999998806,-2.4445170007801386e-05
5.2094512702532105,299.99999999993213,-0.0001302362817562949,99.99999999998644,-2.6047256351258986e-05
5.550868030059805,299.9999999999229,-0.00013877170075145235,99.9999999999846,-2.7754340150290468e-05
5.914660544591749,299.9999999999125,-0.00014786651361474196,99.9999999999825,-2.9573302722948393e-05
6.302295274956023,299.9999999999007,-0.000157557381873838,99.99999999998013,-3.15114763747676e-05
6.7153347911151435,299.9999999998872,-0.00016788336977780288,99.99999999997746,-3.3576673955560574e-05
7.155444070664578,299.999999999872,-0.00017888610176652287,99.99999999997439,-3.577722035330457e-05
7.624397210419138,299.9999999998547,-0.00019060993026036766,99.99999999997092,-3.812198605207353e-05
8.12408457786297,299.99999999983504,-0.00020310211444644018,99.999999999967,-4.0620422889288035e-05
8.656520431290943,299.99999999981264,-0.0002164130107821114,99.99999999996254,-4.3282602156422276e-05
9.223851039358477,299.9999999997873,-0.0002305962759837657,99.99999999995745,-4.6119255196753144e-05
9.828363332770026,299.99999999975853,-0.0002457090833190133,99.99999999995171,-4.914181666380266e-05
10.472494122981487,299.99999999972584,-0.00026181235307425,99.99999999994517,-5.2362470614850005e-05
11.15883992507748,299.9999999996887,-0.0002789709981265896,99.99999999993774,-5.579419962531792e-05
11.890167424419893,299.99999999964655,-0.0002972541856100771,99.99999999992932,-5.945083712201542e-05
12.669424629259064,299.9999999995987,-0.0003167356157309681,99.99999999991974,-6.334712314619363e-05
13.499752754264303,299.99999999954434,-0.0003374938188559924,99.99999999990888,-6.749876377119849e-05
14.38449888287663,299.9999999994827,-0.0003596124720711716,99.99999999989654,-7.192249441423433e-05
15.327229459526134,299.9999999994127,-0.0003831807364872532,99.99999999988253,-7.663614729745063e-05
16.331744666101677,299.9999999993332,-0.0004082936166514529,99.99999999986665,-8.165872333029057e-05
17.40209374062485,299.99999999924296,-0.0004350523435143037,99.9999999998486,-8.701046870286075e-05
18.542591299878524,299.9999999991404,-0.0004635647824953692,99.99999999982808,-9.271295649907382e-05
19.757834731787003,299.99999999902406,-0.0004939458682927468,99.99999999980481,-9.878917365854935e-05
21.05272272765707,299.99999999889195,-0.0005263180681890939,99.9999999997784,-0.00010526361363781879
22.432475028984193,299.99999999874194,-0.0005608118757217828,99.99999999974838,-0.00011216237514435654
23.902653468423917,299.99999999857164,-0.0005975663367071837,99.99999999971433,-0.00011951326734143675
25.4691843897454,299.99999999837826,-0.0006367296097395046,99.99999999967565,-0.00012734592194790092
27.138382537142785,299.9999999981587,-0.0006784595634235727,99.99999999963174,-0.00013569191268471455
28.916976510202993,299.9999999979095,-0.0007229244127490296,99.9999999995819,-0.00014458488254980592
30.812135887140023,299.9999999976265,-0.0007703033971711873,99.9999999995253,-0.00015406067943423747
32.831500125630455,299.9999999973052,-0.000820787503131914,99.99999999946104,-0.0001641575006263828
34.98320935775036,299.99999999694046,-0.0008745802339330557,99.99999999938808,-0.00017491604678661116
37.2759372031494,299.9999999965263,-0.0009318984300657862,99.99999999930526,-0.00018637968601315725
39.71892573273302,299.99999999605603,-0.0009929731433026606,99.99999999921121,-0.00019859462866053212
42.322022723792756,299.9999999955221,-0.0010580505680758676,99.99999999910443,-0.00021161011361517355
45.095721356761466,299.9999999949159,-0.0011273930338961094,99.99999999898318,-0.00022547860677922193
48.051202513612424,299.9999999942277,-0.001201280062812574,99.99999999884554,-0.00024025601256251483
51.20037984840887,299.9999999934463,-0.0012800094961766665,99.99999999868926,-0.0002560018992353333
54.55594781168517,299.9999999925591,-0.0013638986952515346,99.99999999851183,-0.00027277973905030697
58.131432822247135,299.9999999915519,-0.001453285820507068,99.99999999831037,-0.0002906571641014136
61.94124779266757,299.99999999040824,-0.0015485311947572766,99.99999999808165,-0.00030970623895145534
66.00075022827095,299.99999998910977,-0.0016500187556348974,99.99999999782196,-0.00033000375112697945
70.32630413380643,299.99999998763553,-0.0017581576032582058,99.9999999975271,-0.00035163152065164114
74.93534597735753,299.9999999859617,-0.001873383649328742,99.99999999719235,-0.00037467672986574835
79.84645497739086,299.99999998406133,-0.0019961613743075066,99.99999999681228,-0.00039923227486150136
85.07942799627445,299.9999999819038,-0.002126985699752899,99.99999999638075,-0.0004253971399505798
90.65535934216354,299.999999979454,-0.0022663839833678276,99.99999999589079,-0.00045327679667356557
96.59672580093833,299.99999997667265,-0.002414918144798124,99.99999999533453,-0.00048298362895962476
102.92747724096078,299.99999997351483,-0.0025731869307514146,99.99999999470296,-0.0005146373861502829
109.67313315588179,299.9999999699295,-0.0027418283285672515,99.99999999398591,-0.0005483656657134504
116.86088553466509,299.9999999658588,-0.00292152213796765,99.99999999317177,-0.00058430442759353
124.51970847350319,299.9999999612371,-0.0031129927113549053,99.99999999224742,-0.0006225985422709811
132.68047497147245,299.99999995598967,-0.003317011873702881,99.99999999119794,-0.0006634023747405761
141.376081380736,299.999999950032,-0.003534402033811972,99.99999999000642,-0.0007068804067623944
150.64158001295928,299.99999994326777,-0.0037660394994693588,99.99999998865356,-0.0007532078998938716
160.51432043647614,299.9999999355879,-0.004012858009877995,99.99999998711758,-0.0008025716019755992
171.03410003378394,299.9999999268683,-0.004275852499593798,99.99999998537368,-0.0008551704999187596
182.24332442626667,299.9999999169684,-0.004556083109143472,99.99999998339368,-0.0009112166218286944
194.1871784128255,299.9999999057284,-0.004854679458490002,99.99999998114566,-0.0009709358916980004
206.913808111479,299.9999998929667,-0.005172845200572308,99.99999997859334,-0.0010345690401144616
220.47451503814744,299.9999998784775,-0.005511862873274424,99.99999997569549,-0.0011023725746548848
234.9239629049658,299.9999998620268,-0.005873099069382824,99.99999997240536,-0.0011746198138765647
250.32039797173255,299.99999984334926,-0.006258009945372026,99.99999996866984,-0.001251601989074405
266.7258838387405,299.9999998221433,-0.006668147091224613,99.99999996442865,-0.0013336294182449227
284.2065516274511,299.9999997980666,-0.007105163784947197,99.99999995961332,-0.0014210327569894395
302.8328665574946,299.9999997707306,-0.007570821656994333,99.99999995414612,-0.0015141643313988668
322.67991199458083,299.9999997396942,-0.008066997791464975,99.99999994793883,-0.001613399558292995
343.8276921143307,299.9999997044563,-0.008595692292696657,99.99999994089126,-0.0017191384585393313
366.3614544020716,299.9999996644482,-0.009159036347758465,99.99999993288964,-0.001831807269551693
390.37203328860886,299.99999961902415,-0.00975930081734299,99.99999992380484,-0.0019518601634685982
415.9562163071847,299.999999567451,-0.010398905389687475,99.99999991349021,-0.002079781077937495
443.21713424760856,299.99999950889645,-0.011080428334423664,99.99999990177929,-0.0022160856668847323
472.2646768802949,299.9999994424152,-0.011806616895674612,99.99999988848305,-0.002361323379134922
503.2159359259993,299.9999993669343,-0.012580398366293107,99.99999987338686,-0.0025160796732586212
536.1956770568817,299.99999928123555,-0.0134048918878822,99.9999998562471,-0.00268097837757644
571.336842831558,299.99999918393553,-0.014283421024164177,99.99999983678711,-0.0028566842048328355
608.7810885914762,299.999999073464,-0.015219527158381143,99.9999998146928,-0.0030439054316762286
648.6793534788508,299.9999989480377,-0.016216983768732648,99.99999978960756,-0.00324339675374653
691.1924688779366,299.99999880563246,-0.017279811639394627,99.99999976112649,-0.0034559623278789258
736.4918067322965,299.99999864394954,-0.01841229506843541,99.9999997287899,-0.0036824590136870818
784.7599703514607,299.99999846037946,-0.019618999137963257,99.99999969207589,-0.003923799827592652
836.1915304916317,299.99999825195925,-0.02090478811612111,99.99999965039186,-0.004180957623224222
890.9938096776107,299.9999980153251,-0.02227484506510696,99.99999960306502,-0.004454969013021393
949.387717927582,299.9999977466574,-0.02373469273425997,99.99999954933148,-0.004746938546851994
1011.6086432495807,299.99999744161994,-0.025290215822431576,99.99999948832398,-0.005058043164486315
1077.9074004992726,299.99999709528913,-0.02694768469938088,99.99999941905781,-0.0053895369398761755
1148.551242423938,299.9999967020752,-0.028713780681814887,99.99999934041503,-0.005742756136362976
1223.8249369681923,299.99999625563134,-0.030595622965959635,99.99999925112627,-0.006119124593191926
1304.0319151841302,299.999995748752,-0.03260079732522694,99.99999914975041,-0.0065201594650453895
1389.4954943731375,299.99999517325574,-0.0347373866886545,99.99999903465115,-0.006947477337730899
1480.56018138991,299.999994519854,-0.03701400372337915,99.9999989039708,-0.00740280074467583
1577.5930613623614,299.9999937780005,-0.039439825552480705,99.9999987556001,-0.00788796511049614
1680.9852774253636,299.9999929357214,-0.04202463074813925,99.99999858714429,-0.008404926149627852
1791.1536074332303,299.99999197942213,-0.04477883874922206,99.99999839588443,-0.008955767749844412
1908.542144006686,299.99999089366753,-0.04771355186218522,99.9999981787335,-0.009542710372437044
2033.6240846866724,299.9999896609331,-0.050840600014589274,99.99999793218663,-0.010168120002917854
2166.903639411181,299.9999882613221,-0.054172588441621136,99.99999765226443,-0.010834517688324226
2308.9180630041924,299.9999866722442,-0.057722948497835186,99.99999733444884,-0.011544589699567037
2460.239820869775,299.999984868051,-0.06150599179892202,99.9999969736102,-0.012301198359784406
2621.478896621353,299.9999828196222,-0.06553696791173404,99.99999656392444,-0.013107393582346808
2793.285250948253,299.9999804938953,-0.06983212582509486,99.99999609877906,-0.013966425165018972
2976.351441631316,299.9999778533322,-0.07440877944915623,99.99999557066644,-0.014881755889831249
3171.415415268999,299.9999748553132,-0.07928537740730024,99.99999497106265,-0.015857075481460047
3379.2634819674313,299.999971451449,-0.08448157740187821,99.9999942902898,-0.01689631548037564
3600.7334849856165,299.99996758680015,-0.090018325453511,99.99999351736002,-0.0180036650907022
3836.718178112645,299.99996319898946,-0.0959179403333055,99.99999263979788,-0.0191835880666611
4088.1688243912895,299.9999582171962,-0.10220420352826663,99.99999164343924,-0.020440840705653326
4356.099030694608,299.9999525610121,-0.10890245510247226,99.99999051220242,-0.021780491020494452
4641.588833612777,299.9999461391443,-0.11603969584032482,99.99998922782888,-0.02320793916806496
4945.789053120639,299.99993884794156,-0.12364469608349785,99.9999877695883,-0.02472893921669957
5269.925931575656,299.99993056972096,-0.13174811170014863,99.9999861139442,-0.026349622340029723
5615.306076746272,299.999921170869,-0.14038260765368699,99.99998423417381,-0.0280765215307374
5983.3217287962825,299.9999104996847,-0.14958298966898892,99.99998209993694,-0.029916597933797785
6375.456372456507,299.9998983839314,-0.15938634452653147,99.99997967678627,-0.03187726890530629
6793.290717006696,299.9998846280563,-0.16983218954965199,99.99997692561126,-0.0339664379099304
7238.509068173247,299.9998690100348,-0.1809626318871261,99.99997380200696,-0.03619252637742522
7712.906117627992,299.99985127778655,-0.19282253823265275,99.9999702555573,-0.038564507646530556
8218.394177456797,299.9998311451069,-0.2054597156648129,99.99996622902138,-0.041091943132962584
8757.010888760507,299.9998082870477,-0.21892510433577161,99.99996165740956,-0.04378502086715432
9330.927435461663,299.99978233467255,-0.23327298278460395,99.9999564669345,-0.046654596556920794
9942.457296427408,299.9997528691016,-0.24856118670184477,99.99995057382031,-0.049712237340368955
10594.0655711885,299.99971941475155,-0.2648513420258604,99.9999438829503,-0.05297026840517209
11288.378916846883,299.9996814316595,-0.2822091133091582,99.9999362863319,-0.05644182266183164
12028.196136227776,299.99963830676757,-0.3007044683539803,99.99992766135351,-0.06014089367079606
12816.499459957571,299.99958934402855,-0.3204119601817356,99.99991786880571,-0.06408239203634714
13656.466567946096,299.99953375317176,-0.34141102747023017,99.99990675063435,-0.06828220549404602
14551.483398731938,299.9994706369481,-0.36378631466653233,99.99989412738962,-0.07275726293330646
15505.157798326221,299.99939897664905,-0.3876280130619658,99.9998797953298,-0.07752560261239316
16521.334063573686,299.9993176156645,-0.4130322241993855,99.99986352313289,-0.0826064448398771
17604.108438655527,299.99922524081626,-0.44010134707191967,99.99984504816325,-0.08802026941438393
18757.845627201612,299.9991203611636,-0.46894449066709026,99.99982407223273,-0.09378889813341805
19987.196386572487,299.99900128394125,-0.49967791351091206,99.99980025678825,-0.09993558270218242
21297.11627523478,299.9988660872389,-0.5324254919736776,99.99977321744778,-0.10648509839473552
22692.88562880081,299.9987125889844,-0.5673192192129268,99.99974251779688,-0.11346384384258536
24180.13084525718,299.998538311727,-0.6044997367500596,99.99970766234539,-0.12089994735001194
25764.847065183745,299.99834044265583,-0.6441169008054769,99.99966808853117,-0.12882338016109537
27453.422338387143,299.9981157882059,-0.6863303856534626,99.99962315764117,-0.13726607713069253
29252.663374366417,299.99786072251993,-0.7313103264027616,99.99957214450399,-0.14626206528055233
31169.822980411434,299.99757112893633,-0.7792380037621762,99.99951422578727,-0.15584760075243523
33212.62929793748,299.997242333557,-0.8303065735131071,99.99944846671141,-0.16606131470262145
35389.316954909846,299.99686902982603,-0.88472184358316,99.9993738059652,-0.176944368716632
37708.66025993451,299.99644519290086,-0.9427031017970438,99.99928903858017,-0.18854062035940874
40180.00857182091,299.9959639824367,-1.0044839975734936,99.99919279648734,-0.20089679951469874
42813.32398719396,299.9954176322168,-1.0703134810401962,99.99908352644337,-0.2140626962080392
45619.221498074585,299.99479732484826,-1.140456803252852,99.99895946496966,-0.22809136065057037
48609.011781306304,299.99409304950564,-1.2151965814300405,99.99881860990114,-0.24303931628600808
51794.74679231213,299.9932934404284,-1.2948339333523171,99.99865868808567,-0.25896678667046347
55189.268346973746,299.9923855935721,-1.3796896853223783,99.99847711871442,-0.27593793706447567
58806.25988746757,299.9913548584593,-1.4701056583426688,99.99827097169187,-0.2940211316685338
62660.30164072656,299.99018460187904,-1.5664460374374656,99.9980369203758,-0.31328920748749306
66766.92939187557,299.98885593963143,-1.6690988293277125,99.99777118792628,-0.3338197658655425
71142.69710955731,299.98734743200225,-1.7784774139576605,99.99746948640046,-0.3556954827915321
75805.24367559262,299.98563473806865,-1.8950221956716984,99.99712694761374,-0.3790044391343397
80773.36398796702,299.98369022327984,-2.0192023601460174,99.99673804465598,-0.40384047202920353
86067.08472376158,299.98148251400863,-2.1515177434904706,99.99629650280173,-0.4303035486980942
91707.7450674293,299.97897599192095,-2.292500820248412,99.9957951983842,-0.45850016404968236
97718.08272983889,299.97613022005226,-2.442718817332804,99.99522604401045,-0.4885437634665608
104122.32560483043,299.9728992913888,-2.602775961240147,99.99457985827775,-0.5205551922480294
110946.28943275218,299.9692310895223,-2.773315866174065,99.99384621790446,-0.5546631732348131
118217.48186466699,299.965066449548,-2.955024070979971,99.99301328990958,-0.5910048141959943
125965.21334671388,299.96033820579635,-3.148630733030989,99.99206764115928,-0.6297261466061979
134220.7152716012,299.9549701112046,-3.3549134874017583,99.99099402224093,-0.6709826974803516
143017.2658735088,299.94887561110613,-3.574700479805814,99.98977512222123,-0.7149400959611628
152390.32437388273,299.94195645193645,-3.808873581835347,99.9883912903873,-0.7617747163670695
162377.67391887208,299.9341011027704,-4.058371797007205,99.98682022055408,-0.8116743594014412
173019.57388458945,299.9251829646898,-4.324194865957868,99.98503659293796,-0.8648389731915737
184358.9221641486,299.9150583396979,-4.607407078809702,99.98301166793959,-0.9214814157619404
196441.42809066267,299.9035641271895,-4.909141302209161,99.9807128254379,-0.981828260441832
209315.79669325738,299.89051521181943,-5.230603227765053,99.97810304236388,-1.0461206455530108
223033.9250288494,299.87570150192414,-5.57307584753113,99.97514030038484,-1.114615169506226
237651.11138110727,299.85888457239116,-5.937924160707254,99.97177691447823,-1.187584832141451
253226.27816987946,299.83979385997156,-6.32660011378905,99.96795877199432,-1.26532002275781
269822.2094696533,299.8181223524398,-6.740647773869548,99.96362447048796,-1.3481295547739096
287505.80409448774,299.79352170563607,-7.181708731557278,99.95870434112722,-1.4363417463114554
306348.3452696084,299.76559671423956,-7.651527725868365,99.95311934284791,-1.530305545173673
326425.78797673236,299.7338990530171,-8.151958478288282,99.94677981060342,-1.6303916956576567
347819.06513141264,299.6979201952423,-8.684969716756726,99.93958403904847,-1.736993943351345
370614.4138266228,299.6570834039004,-9.252651362340085,99.93141668078009,-1.850530272468017
394903.72295767016,299.61073467916754,-9.85722084150025,99.92214693583351,-1.97144416830005
420784.9036297398,299.5581325324447,-10.501029474768256,99.91162650648893,-2.1002058949536515
448362.28384119057,299.4984364429586,-11.186568877837106,99.89968728859174,-2.2373137755674213
477747.0290335773,299.4306938376688,-11.916477293073008,99.88613876753377,-2.383295458614602
509057.59020366764,299.3538254190592,-12.693545747589232,99.87076508381185,-2.5387091495178464
542420.1813838024,299.2666086485595,-13.520723907607692,99.8533217297119,-2.7041447815215385
577969.2884153313,299.167659176145,-14.401125467015028,99.833531835229,-2.880225093403005
615848.2110660254,299.0554099895837,-15.338032869840065,99.81108199791674,-3.0676065739680127
656209.6406767555,298.9280880405068,-16.33490112074127,99.78561760810135,-3.2669802241482544
699216.2756659375,298.78368808989467,-17.39536038326524,99.75673761797893,-3.479072076653048
745041.4773728902,298.61994350396856,-18.52321700125612,99.72398870079371,-3.704643400251224
793869.9688838223,298.4342937245229,-19.722452502876134,99.68685874490458,-3.944490500575227
845898.5796574301,298.223848137646,-20.997220057673633,99.64476962752919,-4.199444011534726
901337.038951742,297.9853460744208,-22.35183775341414,99.59706921488416,-4.470367550682829
960408.821250537,297.71511270025496,-23.790777939439575,99.543022540051,-4.758155587887915
1023352.0470972576,297.4090105906171,-25.318651745821505,99.48180211812343,-5.0637303491643015
1090420.4429677527,297.06238685600533,-26.940187731619556,99.41247737120106,-5.388037546323911
1161884.3640510992,296.6700157751451,-28.660203440937906,99.33400315502902,-5.732040688187581
1238031.8840613968,296.2260370315083,-30.483568453108944,99.24520740630166,-6.096713690621789
1319169.9564735717,295.7238898347841,-32.415157305786884,99.14477796695681,-6.483031461157377
1405625.6518642136,295.1562434582854,-34.45979045196343,99.03124869165708,-6.891958090392686
1497747.4763452,294.51492504961067,-36.62216119217901,98.90298500992213,-7.3244322384358025
1595906.776404731,293.7908459909251,-38.906746314235946,98.75816919818502,-7.781349262847189
1700499.2358187905,292.9739286136863,-41.31769799314629,98.59478572273727,-8.263539598629258
1811946.4706671222,292.053035727116,-43.85871438000107,98.4106071454232,-8.771742876000213
1930697.7288832497,291.0159062149706,-46.532886275398205,98.20318124299412,-9.30657725507964
2057231.7011895531,289.84910090137095,-49.34251738761121,97.96982018027418,-9.868503477522243
2192058.4507173235,288.53796398535496,-52.288915977100174,97.70759279707099,-10.457783195420035
2335721.4690901213,287.06660658334573,-55.37215626010621,97.41332131666914,-11.074431252021242
2488799.8672586675,285.417920265971,-58.59080887082603,97.08358405319422,-11.718161774165205
2651910.7099185353,283.5736298682485,-61.941641060215595,96.71472597364969,-12.38832821204312
2825711.502920827,281.5143961881455,-65.41928924006122,96.3028792376291,-13.083857848012245
3010902.8437025924,279.2199803160453,-69.0159090567033,95.84399606320906,-13.80318181134066
3208231.2454210743,276.6694820455376,-72.7208114681905,95.33389640910752,-14.544162293638099
3418492.146175927,273.84166482857864,-76.52009732034404,94.76833296571573,-15.304019464068809
3642533.1154496376,270.71537871816537,-80.39630760699256,94.14307574363308,-16.07926152139851
3881257.270691532,267.2700903066483,-84.32811177064843,93.45401806132966,-16.865622354129684
4135626.917817706,263.48652442553777,-88.2900617005601,92.69730488510754,-17.65801234011202
4406667.430301786,259.3474159823679,-92.25244396273403,91.86948319647358,-18.450488792546807
4695471.3824934205,254.83836157134843,-96.18126647951065,90.96767231426969,-19.23625329590213
5003202.953825999,249.94874946097787,-100.03841739169792,89.98974989219558,-20.007683478339583
5331102.621667033,244.67273366825583,-103.78203208259268,88.93454673365116,-20.756406416518537
5680492.1617284175,239.01020400544533,-107.36709823396212,87.80204080108906,-21.47341964679243
6052779.976193343,232.96769071943828,-110.74631746769526,86.59353814388766,-22.149263493539053
6449466.7710376205,226.55913164603376,-113.87122526743515,85.31182632920675,-22.774245053487025
6872151.605431108,219.8064240254315,-116.69354894788844,83.96128480508631,-23.33870978957769
7322538.337604526,212.73968462075246,-119.16675796851294,82.54793692415049,-23.833351593702588
7802442.493165045,205.39715239870247,-121.24773451924806,81.0794304797405,-24.24954690384961
8313798.583547334,197.82468855592097,-122.89846863295415,79.5649377111842,-24.57969372659083
8858667.904100815,190.07485832998003,-124.08766516592628,78.014971665996,-24.817533033185253
9439246.843247663,182.20561522759388,-124.79214361966808,76.44112304551878,-24.958428723933615
10057875.736205835,174.27864676309332,-124.9979185807012,74.85572935261865,-24.99958371614024
10717048.298967093,166.35747617448357,-124.7008692107853,73.2714952348967,-24.94017384215706
11419421.680558648,158.50544141877526,-123.90693901961482,71.70108828375504,-24.781387803922968
12167827.17410923,150.78368663481479,-122.63184809420086,70.15673732696295,-24.52636961884017
12965281.629896663,143.24929983952896,-120.90034342101706,68.6498599679058,-24.180068684203412
13814999.61638321,135.9537141365298,-118.74505278228717,67.19074282730597,-23.749010556457435
14720406.378260013,128.941460955371,-116.20503853566069,65.7882921910742,-23.241007707132137
15685151.643735446,122.24932748654395,-113.32416577843452,64.44986549730879,-22.664833155686903
16713124.336724859,115.90593205124895,-110.14940369002636,63.18118641024979,-22.02988073800527
17808468.25324681,109.93169586632473,-106.72917031986867,61.986339173264945,-21.345834063973733
18975598.765218504,104.33916153062742,-103.11181264435822,60.867832306125486,-20.622362528871648
